Heure ; Nucléaire ; Charbon ; Gaz semi-base ; Gaz pointe ; Fioul ; Hydro ; STEP pompage ; STEP turbinage ; Batterie injection ; Batterie soutirage
85 ; 5261.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
86 ; 4707.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
87 ; 4569.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
88 ; 4295.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
89 ; 4335.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
90 ; 4524.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
91 ; 5406.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
92 ; 5617.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
93 ; 5243.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
94 ; 4983.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
95 ; 5412.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
96 ; 5224.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
97 ; 4485.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
98 ; 4453.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
99 ; 4370.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
100 ; 4477.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
101 ; 4412.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
102 ; 1860.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 2973.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
103 ; 1860.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 3635.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
104 ; 6179.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
105 ; 6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 371.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
106 ; 6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 410.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
107 ; 6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 567.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
108 ; 6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 592.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
109 ; 6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 558.0 ; 0.0 ; -0.0 ; 0.0 ; 0.0
110 ; 6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 433.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
111 ; 1860.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 4767.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
112 ; 6155.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
113 ; 6006.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
114 ; 6079.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
115 ; 6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 123.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
116 ; 6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 449.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
117 ; 6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 199.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
118 ; 6128.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
119 ; 6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 560.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
120 ; 6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 775.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
121 ; 6197.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
122 ; 5921.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
123 ; 5743.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
124 ; 5444.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
125 ; 5367.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
126 ; 5648.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
127 ; 6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 24.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
128 ; 6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 507.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
129 ; 6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 768.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
130 ; 6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 823.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
131 ; 6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 893.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
