Heure;Nucléaire;Charbon;Gaz semi-base;Gaz pointe;Fioul;Hydro;STEP pompage;STEP turbinage;Batterie injection;Batterie soutirage;Load
135;6200.0;1060.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12172
136;6200.0;2032.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12752
137;6200.0;2654.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13308
138;6200.0;2775.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13170
139;6200.0;1958.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12311
140;6200.0;1475.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11570
141;6200.0;1815.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11716
142;6200.0;2089.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11862
143;6200.0;1439.500000000001;0.0;0.0;0.0;0.0;0.0;57.49999999999909;0.0;0.0;11202
144;6200.0;1433.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10901
145;6200.0;1571.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10624
146;6200.0;1326.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10251
147;6200.0;1591.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10216
148;6200.0;2373.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10717
149;6200.0;3000.0;0.0;0.0;0.0;693.0;0.0;0.0;0.0;0.0;11908
150;6200.0;3000.0;0.0;0.0;0.0;662.0;0.0;1200.0;0.0;0.0;12942
151;6200.0;3000.0;0.0;0.0;0.0;2274.0;0.0;0.0;0.0;0.0;13281
152;6200.0;3000.0;0.0;0.0;0.0;1861.249999999999;0.0;299.7500000000009;0.0;0.0;13353
153;6200.0;3000.0;0.0;0.0;0.0;1932.0;0.0;0.0;0.0;0.0;13376
154;6200.0;3000.0;0.0;0.0;0.0;1643.0;0.0;0.0;0.0;0.0;13453
155;6200.0;3000.0;0.0;0.0;0.0;1301.0;0.0;0.0;0.0;0.0;13420
156;6200.0;3000.0;0.0;0.0;0.0;800.0;0.0;0.0;0.0;0.0;13137
157;6200.0;3000.0;0.0;0.0;0.0;0.0;0.0;373.0;0.0;0.0;12858
158;6200.0;3000.0;0.0;0.0;0.0;11.0;0.0;0.0;0.0;0.0;12632
159;6200.0;2693.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12544
160;6200.0;2809.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13060
161;6200.0;2636.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13493
162;6200.0;2147.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13367
163;6200.0;0.0;0.0;0.0;0.0;866.0;-0.0;0.0;0.0;0.0;12417
164;6200.0;0.0;0.0;0.0;0.0;62.0;0.0;-0.0;0.0;0.0;11608
165;6200.0;0.0;0.0;0.0;0.0;71.0;0.0;0.0;0.0;0.0;11692
166;6200.0;0.0;0.0;0.0;0.0;250.0;0.0;-0.0;0.0;0.0;11772
167;5846.0;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;11133
168;5347.0;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;10768
